date,hour,price_eur_per_mwh,is_negative_price,negative_price_duration,is_green_energy
2013-01-01,1,14.03,0,0,0
2013-01-01,2,11.06,0,0,0
2013-01-01,3,8.5,0,0,0
2013-01-01,4,0.1,0,0,0
2013-01-01,5,2.01,0,0,0
2013-01-01,6,22.81,0,0,0
2013-01-01,7,27.93,0,0,0
2013-01-01,8,28.01,0,0,0
2013-01-01,9,27.8,0,0,0
2013-01-01,10,27.35,0,0,0
2013-01-01,11,28.22,0,0,0
2013-01-01,12,30.27,0,0,0
2013-01-01,13,30.27,0,0,0
2013-01-01,14,31.02,0,0,0
2013-01-01,15,32.36,0,0,0
2013-01-01,16,33.64,0,0,0
2013-01-01,17,34.695,0,0,0
2013-01-01,18,36.24,0,0,0
2013-01-01,19,37.12,0,0,0
2013-01-01,20,36.34,0,0,0
2013-01-01,21,35.885,0,0,0
2013-01-01,22,34.0,0,0,0
2013-01-01,23,34.65,0,0,0
2013-01-01,24,25.34,0,0,0
2013-01-02,1,23.61,0,0,0
2013-01-02,2,14.92,0,0,0
2013-01-02,3,16.45,0,0,0
2013-01-02,4,11.81,0,0,0
2013-01-02,5,11.99,0,0,0
2013-01-02,6,29.67,0,0,0
2013-01-02,7,33.695,0,0,0
2013-01-02,8,41.715,0,0,0
2013-01-02,9,39.42,0,0,0
2013-01-02,10,38.54,0,0,0
2013-01-02,11,38.68,0,0,0
2013-01-02,12,38.49,0,0,0
2013-01-02,13,38.07,0,0,0
2013-01-02,14,37.95,0,0,0
2013-01-02,15,37.91,0,0,0
2013-01-02,16,38.85,0,0,0
2013-01-02,17,39.92,0,0,0
2013-01-02,18,40.52,0,0,0
2013-01-02,19,39.62,0,0,0
2013-01-02,20,38.75,0,0,0
2013-01-02,21,37.46,0,0,0
2013-01-02,22,36.94,0,0,0
2013-01-02,23,36.57,0,0,0
2013-01-02,24,34.41,0,0,0
2013-01-03,1,25.07,0,0,0
2013-01-03,2,20.07,0,0,0
2013-01-03,3,14.54,0,0,0
2013-01-03,4,13.99,0,0,0
2013-01-03,5,13.92,0,0,0
2013-01-03,6,17.99,0,0,0
2013-01-03,7,31.68,0,0,0
2013-01-03,8,35.83,0,0,0
2013-01-03,9,36.39,0,0,0
2013-01-03,10,36.52,0,0,0
2013-01-03,11,36.71,0,0,0
2013-01-03,12,36.6,0,0,0
2013-01-03,13,36.51,0,0,0
2013-01-03,14,36.4,0,0,0
2013-01-03,15,36.41,0,0,0
2013-01-03,16,36.58,0,0,0
2013-01-03,17,36.92,0,0,0
2013-01-03,18,36.925,0,0,0
2013-01-03,19,36.81,0,0,0
2013-01-03,20,36.41,0,0,0
2013-01-03,21,35.89,0,0,0
2013-01-03,22,35.43,0,0,0
2013-01-03,23,34.75,0,0,0
2013-01-03,24,28.11,0,0,0
2013-01-04,1,13.54,0,0,0
2013-01-04,2,11.91,0,0,0
2013-01-04,3,9.5,0,0,0
2013-01-04,4,11.04,0,0,0
2013-01-04,5,10.75,0,0,0
2013-01-04,6,17.94,0,0,0
2013-01-04,7,34.3,0,0,0
2013-01-04,8,36.7,0,0,0
2013-01-04,9,36.95,0,0,0
2013-01-04,10,36.68,0,0,0
2013-01-04,11,36.8,0,0,0
2013-01-04,12,36.64,0,0,0
2013-01-04,13,36.46,0,0,0
2013-01-04,14,36.32,0,0,0
2013-01-04,15,35.84,0,0,0
2013-01-04,16,36.08,0,0,0
2013-01-04,17,36.79,0,0,0
2013-01-04,18,37.43,0,0,0
2013-01-04,19,37.15,0,0,0
2013-01-04,20,36.47,0,0,0
2013-01-04,21,36.03,0,0,0
2013-01-04,22,35.43,0,0,0
2013-01-04,23,35.595,0,0,0
2013-01-04,24,32.445,0,0,0
2013-01-05,1,32.385,0,0,0
2013-01-05,2,32.37,0,0,0
2013-01-05,3,24.8,0,0,0
2013-01-05,4,30.95,0,0,0
2013-01-05,5,32.77,0,0,0
2013-01-05,6,33.75,0,0,0
2013-01-05,7,34.02,0,0,0
2013-01-05,8,33.97,0,0,0
2013-01-05,9,33.53,0,0,0
2013-01-05,10,37.06,0,0,0
2013-01-05,11,36.71,0,0,0
2013-01-05,12,36.75,0,0,0
2013-01-05,13,36.53,0,0,0
2013-01-05,14,36.13,0,0,0
2013-01-05,15,36.15,0,0,0
2013-01-05,16,36.79,0,0,0
2013-01-05,17,38.12,0,0,0
2013-01-05,18,46.59,0,0,0
2013-01-05,19,40.6,0,0,0
2013-01-05,20,36.96,0,0,0
2013-01-05,21,36.25,0,0,0
2013-01-05,22,35.88,0,0,0
2013-01-05,23,35.7,0,0,0
2013-01-05,24,35.44,0,0,0
2013-01-06,1,33.83,0,0,0
2013-01-06,2,32.545,0,0,0
2013-01-06,3,32.25,0,0,0
2013-01-06,4,32.41,0,0,0
2013-01-06,5,32.45,0,0,0
2013-01-06,6,32.8,0,0,0
2013-01-06,7,33.27,0,0,0
2013-01-06,8,32.97,0,0,0
2013-01-06,9,33.65,0,0,0
2013-01-06,10,34.25,0,0,0
2013-01-06,11,34.985,0,0,0
2013-01-06,12,35.955,0,0,0
2013-01-06,13,35.870000000000005,0,0,0
2013-01-06,14,34.945,0,0,0
2013-01-06,15,34.85,0,0,0
2013-01-06,16,35.18,0,0,0
2013-01-06,17,34.025000000000006,0,0,0
2013-01-06,18,37.36,0,0,0
2013-01-06,19,40.05,0,0,0
2013-01-06,20,38.25,0,0,0
2013-01-06,21,36.96,0,0,0
2013-01-06,22,36.06,0,0,0
2013-01-06,23,36.144999999999996,0,0,0
2013-01-06,24,34.735,0,0,0
2013-01-07,1,34.96,0,0,0
2013-01-07,2,33.7,0,0,0
2013-01-07,3,33.12,0,0,0
2013-01-07,4,33.26,0,0,0
2013-01-07,5,32.175,0,0,0
2013-01-07,6,32.885,0,0,0
2013-01-07,7,43.565,0,0,0
2013-01-07,8,61.99,0,0,0
2013-01-07,9,63.74,0,0,0
2013-01-07,10,64.94,0,0,0
2013-01-07,11,64.19,0,0,0
2013-01-07,12,64.0,0,0,0
2013-01-07,13,63.52,0,0,0
2013-01-07,14,62.65,0,0,0
2013-01-07,15,62.63,0,0,0
2013-01-07,16,60.96,0,0,0
2013-01-07,17,60.84,0,0,0
2013-01-07,18,71.47,0,0,0
2013-01-07,19,49.04,0,0,0
2013-01-07,20,39.14,0,0,0
2013-01-07,21,38.05,0,0,0
2013-01-07,22,37.45,0,0,0
2013-01-07,23,36.49,0,0,0
2013-01-07,24,35.55,0,0,0
2013-01-08,1,35.44,0,0,0
2013-01-08,2,35.01,0,0,0
2013-01-08,3,34.83,0,0,0
2013-01-08,4,34.84,0,0,0
2013-01-08,5,35.21,0,0,0
2013-01-08,6,36.305,0,0,0
2013-01-08,7,39.43,0,0,0
2013-01-08,8,49.62,0,0,0
